ZCTA,index2000,index2011,index2012,index2013,index2014,index2015
94002,1114,1453,1494,1562,1586,1668
94005,975,1376,1378,1367,1482,1652
94010,1119,1430,1457,1538,1606,1666
94014,936,1357,1398,1457,1469,1477
94015,1150,1501,1554,1598,1670,1757
94019,1222,1430,1474,1591,1760,1782
94020,831,1292,1305,1538,1539,1622
94021,779,,,,,2000
94022,1684,2000,2000,2000,2000,2525
94024,1961,2000,1987,2000,2000,2287
94025,1324,1765,1721,1811,1833,1877
94027,2000,2000,2000,2000,2000,2987
94028,2000,2000,2000,2000,2000,2311
94030,1157,1551,1655,1724,1779,1849
94037,1473,2000,1735,1973,1646,1692
94038,1405,2000,2000,2000,1432,1853
94040,1208,1449,1523,1630,1683,
94041,1257,1571,1616,1620,1736,1834
94043,1208,1476,1542,1609,1689,1790
94044,1247,1634,1683,1735,1799,1868
94060,921,945,876,931,954,
94061,1143,1514,1510,1556,1629,1680
94062,1125,1241,1376,1407,1557,1679
94063,931,1178,1257,1322,1353,1442
94065,1900,2000,2000,2000,2000,2650
94066,1158,1564,1567,1643,1685,1742
94070,1188,1548,1544,1534,1667,1759
94074,850,,,,,2000
94080,1063,1462,1456,1480,1525,1542
94128,0,,,,,
94303,956,1349,1398,1528,1634,1675
94401,1095,1461,1505,1524,1591,1586
94402,1220,1498,1534,1581,1610,1779
94403,1210,1666,1760,1807,1858,1931
94404,1622,1959,2000,2000,2000,2340
